name,industry,subindustry,price,old_price,change
Justin Jefferson,Sports,American Football,26.00,27.29,-1.29
Tyreek Hill,Sports,American Football,26.00,19.21,+6.79
Caleb Williams,Sports,American Football,24.00,22.39,+1.61
Justin Herbert,Sports,American Football,24.00,26.89,-2.89
Micah Parsons,Sports,American Football,24.00,16.41,+7.59
Aaron Donald,Sports,American Football,22.00,23.89,-1.89
Arch Manning,Sports,American Football,22.00,11.05,+10.95
Baker Mayfield,Sports,American Football,22.00,16.97,+5.03
Bijan Robinson,Sports,American Football,22.00,28.98,-6.98
CeeDee Lamb,Sports,American Football,22.00,27.77,-5.77
Drake Maye,Sports,American Football,22.00,9.47,+12.53
Matthew Stafford,Sports,American Football,22.00,32.73,-10.73
Brock Purdy,Sports,American Football,20.00,18.49,+1.51
George Kittle,Sports,American Football,20.00,17.49,+2.51
Jahmyr Gibbs,Sports,American Football,20.00,28.34,-8.34
Myles Garrett,Sports,American Football,20.00,24.93,-4.93
Puka Nacua,Sports,American Football,20.00,28.12,-8.12
T.J. Watt,Sports,American Football,20.00,19.80,+0.20
Travis Hunter,Sports,American Football,20.00,14.12,+5.88
A.J. Brown,Sports,American Football,18.00,14.21,+3.79
Amon-Ra St. Brown,Sports,American Football,18.00,22.73,-4.73
Cam Ward,Sports,American Football,18.00,6.26,+11.74
Kyler Murray,Sports,American Football,18.00,20.32,-2.32
Malik Nabers,Sports,American Football,18.00,6.76,+11.24
Trevor Lawrence,Sports,American Football,18.00,18.32,-0.32
Ashton Jeanty,Sports,American Football,16.00,19.78,-3.78
Brock Bowers,Sports,American Football,16.00,13.92,+2.08
Fernando Mendoza,Sports,American Football,16.00,15.43,+0.57
Jeremiah Smith,Sports,American Football,16.00,11.93,+4.07
Sauce Gardner,Sports,American Football,16.00,14.92,+1.08
Aidan Hutchinson,Sports,American Football,14.00,14.82,-0.82
Garrett Wilson,Sports,American Football,14.00,15.75,-1.75
Jaxson Dart,Sports,American Football,14.00,10.39,+3.61
Marvin Harrison Jr,Sports,American Football,14.00,11.92,+2.08
Patrick Surtain II,Sports,American Football,14.00,17.89,-3.89
Kyle Pitts,Sports,American Football,13.29,13.29,+0.00
Bryce Underwood,Sports,American Football,12.00,2.98,+9.02
Jeremiyah Love,Sports,American Football,12.00,10.97,+1.03
Kenneth Walker III,Sports,American Football,12.00,18.73,-6.73
Kirk Herbstreit,Sports,American Football,12.00,14.37,-2.37
Nico Collins,Sports,American Football,12.00,14.97,-2.97
Rashee Rice,Sports,American Football,12.00,15.32,-3.32
Ryan Williams,Sports,American Football,12.00,3.97,+8.03
Trey McBride,Sports,American Football,12.00,16.48,-4.48
Will Anderson Jr.,Sports,American Football,12.00,16.92,-4.92
John Mateer,Sports,American Football,10.00,0.39,+9.61
Julian Sayin,Sports,American Football,10.00,9.12,+0.88
LaNorris Sellers,Sports,American Football,10.00,0.80,+9.20
Rome Odunze,Sports,American Football,10.00,11.92,-1.92
Ty Simpson,Sports,American Football,10.00,3.98,+6.02
Caleb Downs,Sports,American Football,8.00,9.53,-1.53
Carnell Tate,Sports,American Football,8.00,4.13,+3.87
Chris Henry Jr.,Sports,American Football,8.00,0.09,+7.91
Dante Moore,Sports,American Football,8.00,2.50,+5.50
Nico Iamaleava,Sports,American Football,7.15,7.15,+0.00
Dylan Raiola,Sports,American Football,6.13,6.13,+0.00
Darian Mensah,Sports,American Football,6.00,3.22,+2.78
Jayden Maiava,Sports,American Football,6.00,1.12,+4.88
Keelon Russell,Sports,American Football,6.00,0.86,+5.14
Makai Lemon,Sports,American Football,6.00,3.98,+2.02
Sam Leavitt,Sports,American Football,6.00,0.93,+5.07
Julian Lewis,Sports,American Football,5.78,5.78,+0.00
DJ Lagway,Sports,American Football,5.43,5.43,+0.00
Bo Jackson,Sports,American Football,5.12,5.12,+0.00
Ahmad Hardy,Sports,American Football,5.00,0.08,+4.92
Collin Simmons,Sports,American Football,5.00,0.15,+4.85
Kewan Lacy,Sports,American Football,5.00,1.59,+3.41
Trinidad Chambliss,Sports,American Football,5.00,0.14,+4.86
Cam Coleman,Sports,American Football,4.98,4.98,+0.00
Zachariah Branch,Sports,American Football,4.89,4.89,+0.00
Bear Bachmeier,Sports,American Football,4.64,4.64,+0.00
Marcel Reed,Sports,American Football,4.57,4.57,+0.00
Dakorien Moore,Sports,American Football,4.51,4.51,+0.00
Gunner Stockton,Sports,American Football,4.32,4.32,+0.00
Josh Hoover,Sports,American Football,4.18,4.18,+0.00
Jared Curtis,Sports,American Football,3.98,3.98,+0.00
Drew Mestemaker,Sports,American Football,3.92,3.92,+0.00
Trent Mosley,Sports,American Football,3.87,3.87,+0.00
Ryan Wingo,Sports,American Football,3.78,3.78,+0.00
Faizon Brandon,Sports,American Football,3.69,3.69,+0.00
Demond Williams Jr.,Sports,American Football,3.67,3.67,+0.00
Savion Hiter,Sports,American Football,3.54,3.54,+0.00
Dylan Stewart,Sports,American Football,3.46,3.46,+0.00
Nyck Harbor,Sports,American Football,3.43,3.43,+0.00
Leonard Moore,Sports,American Football,3.39,3.39,+0.00
Hollywood Smothers,Sports,American Football,3.31,3.31,+0.00
Jackson Cantwell,Sports,American Football,3.29,3.29,+0.00
Avery Johnson,Sports,American Football,3.23,3.23,+0.00
King Miller,Sports,American Football,3.19,3.19,+0.00
Byrum Brown,Sports,American Football,3.17,3.17,+0.00
Luke Wafle,Sports,American Football,3.12,3.12,+0.00
Devon Dampier,Sports,American Football,3.08,3.08,+0.00
Jadan Baugh,Sports,American Football,2.97,2.97,+0.00
Kayden Dixon-Wyatt,Sports,American Football,2.92,2.92,+0.00
Nate Frazier,Sports,American Football,2.89,2.89,+0.00
Caden Durham,Sports,American Football,2.87,2.87,+0.00
Jordan Marshall,Sports,American Football,2.85,2.85,+0.00
Mark Bowman,Sports,American Football,2.83,2.83,+0.00
Jesse Legree,Sports,American Football,2.81,2.81,+0.00
Jaron-Keawe Sagapolutele,Sports,American Football,2.78,2.78,+0.00
Tavien St. Clair,Sports,American Football,2.76,2.76,+0.00
Andrew Marsh,Sports,American Football,2.63,2.63,+0.00
Malik Washington,Sports,American Football,2.59,2.59,+0.00
Zion Elee,Sports,American Football,2.54,2.54,+0.00
Suntarine Perkins,Sports,American Football,2.42,2.42,+0.00
Shohei Ohtani,Sports,Baseball,44.00,45.93,-1.93
Aaron Judge,Sports,Baseball,34.00,34.52,-0.52
Derek Jeter,Sports,Baseball,34.00,31.98,+2.02
Alex Rodriguez,Sports,Baseball,28.00,26.78,+1.22
Mike Trout,Sports,Baseball,28.00,29.23,-1.23
Bryce Harper,Sports,Baseball,26.00,29.78,-3.78
Juan Soto,Sports,Baseball,26.00,30.83,-4.83
Mookie Betts,Sports,Baseball,26.00,30.73,-4.73
Clayton Kershaw,Sports,Baseball,24.00,27.24,-3.24
David Ortiz,Sports,Baseball,22.00,24.89,-2.89
Freddie Freeman,Sports,Baseball,22.00,26.74,-4.74
Paul Skenes,Sports,Baseball,20.00,9.13,+10.87
Fernando Tatis Jr.,Sports,Baseball,18.00,18.79,-0.79
Ronald Acuña Jr.,Sports,Baseball,18.00,20.82,-2.82
Bobby Witt Jr.,Sports,Baseball,16.00,16.51,-0.51
Elly De La Cruz,Sports,Baseball,16.00,13.17,+2.83
Francisco Lindor,Sports,Baseball,16.00,14.00,+2.00
Vladimir Guerrero Jr.,Sports,Baseball,16.00,16.92,-0.92
Yoshinobu Yamamoto,Sports,Baseball,16.00,14.78,+1.22
Gunnar Henderson,Sports,Baseball,14.00,12.12,+1.88
Jacob DeGrom,Sports,Baseball,14.00,14.10,-0.10
Pete Crow-Armstrong,Sports,Baseball,14.00,16.98,-2.98
Roki Sasaki,Sports,Baseball,14.00,12.19,+1.81
Tarik Skubal,Sports,Baseball,14.00,12.82,+1.18
Yordan Álvarez,Sports,Baseball,14.00,18.36,-4.36
Corey Seager,Sports,Baseball,12.00,11.89,+0.11
José Ramírez,Sports,Baseball,12.00,12.34,-0.34
Julio Rodríguez,Sports,Baseball,12.00,13.89,-1.89
Kyle Tucker,Sports,Baseball,12.00,12.31,-0.31
Rafael Devers,Sports,Baseball,12.00,11.12,+0.88
Roman Anthony,Sports,Baseball,12.00,8.12,+3.88
Chris Sale,Sports,Baseball,10.00,10.89,-0.89
Corbin Carroll,Sports,Baseball,10.00,11.16,-1.16
Edwin Díaz,Sports,Baseball,10.00,8.13,+1.87
Jackson Chourio,Sports,Baseball,10.00,10.74,-0.74
Jackson Merrill,Sports,Baseball,10.00,10.14,-0.14
James Wood,Sports,Baseball,10.00,10.31,-0.31
Junior Caminero,Sports,Baseball,10.00,13.69,-3.69
Zack Wheeler,Sports,Baseball,10.00,9.32,+0.68
Dylan Cease,Sports,Baseball,8.00,10.52,-2.52
Jacob Misiorowski,Sports,Baseball,8.00,8.79,-0.79
Wyatt Langford,Sports,Baseball,8.00,8.32,-0.32
Ben Rice,Sports,Baseball,6.00,7.32,-1.32
Cam Schlittler,Sports,Baseball,6.00,9.06,-3.06
Cristopher Sánchez,Sports,Baseball,6.00,8.31,-2.31
Jordan Walker,Sports,Baseball,5.00,6.21,-1.21
JJ Wetherholt,Sports,Baseball,4.00,6.39,-2.39
Kevin McGonigle,Sports,Baseball,4.00,6.92,-2.92
Mitch Voit,Sports,Baseball,3.40,3.40,+0.00
Otto Lopez,Sports,Baseball,3.00,5.21,-2.21
LeBron James,Sports,Basketball,58.00,56.07,+1.93
Michael Jordan,Sports,Basketball,52.00,45.87,+6.13
Stephen Curry,Sports,Basketball,48.00,51.29,-3.29
Shaquille O'Neal,Sports,Basketball,44.00,42.57,+1.43
Caitlin Clark,Sports,Basketball,40.00,23.46,+16.54
Kevin Durant,Sports,Basketball,40.00,43.97,-3.97
Luka Dončić,Sports,Basketball,40.00,41.37,-1.37
Giannis Antetokounmpo,Sports,Basketball,38.00,39.87,-1.87
Victor Wembanyama,Sports,Basketball,38.00,28.13,+9.87
Magic Johnson,Sports,Basketball,36.00,35.89,+0.11
Nikola Jokić,Sports,Basketball,36.00,45.27,-9.27
Anthony Edwards,Sports,Basketball,34.00,27.67,+6.33
Charles Barkley,Sports,Basketball,34.00,34.59,-0.59
Dwyane Wade,Sports,Basketball,34.00,37.47,-3.47
Shai Gilgeous-Alexander,Sports,Basketball,34.00,34.97,-0.97
Kyrie Irving,Sports,Basketball,32.00,27.93,+4.07
Jayson Tatum,Sports,Basketball,30.00,31.87,-1.87
Anthony Davis,Sports,Basketball,28.00,29.72,-1.72
Carmelo Anthony,Sports,Basketball,28.00,26.88,+1.12
Cooper Flagg,Sports,Basketball,28.00,16.50,+11.50
James Harden,Sports,Basketball,28.00,30.87,-2.87
Jimmy Butler,Sports,Basketball,28.00,32.17,-4.17
Joel Embiid,Sports,Basketball,28.00,31.87,-3.87
Russell Westbrook,Sports,Basketball,28.00,29.34,-1.34
Angel Reese,Sports,Basketball,26.00,12.53,+13.47
Chris Paul,Sports,Basketball,26.00,26.32,-0.32
Damian Lillard,Sports,Basketball,26.00,31.77,-5.77
Derrick Rose,Sports,Basketball,26.00,25.83,+0.17
Devin Booker,Sports,Basketball,26.00,26.53,-0.53
Dirk Nowitzki,Sports,Basketball,26.00,30.41,-4.41
Ja Morant,Sports,Basketball,26.00,21.52,+4.48
Kawhi Leonard,Sports,Basketball,26.00,30.16,-4.16
Klay Thompson,Sports,Basketball,26.00,26.58,-0.58
Draymond Green,Sports,Basketball,24.00,23.12,+0.88
Jalen Brunson,Sports,Basketball,24.00,24.84,-0.84
Kevin Garnett,Sports,Basketball,24.00,27.43,-3.43
LaMelo Ball,Sports,Basketball,24.00,24.79,-0.79
Paige Bueckers,Sports,Basketball,24.00,13.47,+10.53
Scottie Pippen,Sports,Basketball,24.00,27.43,-3.43
Cade Cunningham,Sports,Basketball,22.00,20.12,+1.88
Donovan Mitchell,Sports,Basketball,22.00,22.97,-0.97
Jaylen Brown,Sports,Basketball,22.00,24.98,-2.98
Karl-Anthony Towns,Sports,Basketball,22.00,24.08,-2.08
Paul George,Sports,Basketball,22.00,17.89,+4.11
Trae Young,Sports,Basketball,22.00,23.82,-1.82
Tyrese Haliburton,Sports,Basketball,22.00,21.86,+0.14
Zion Williamson,Sports,Basketball,22.00,27.67,-5.67
A'ja Wilson,Sports,Basketball,20.00,24.82,-4.82
Bronny James,Sports,Basketball,20.00,11.89,+8.11
Chet Holmgren,Sports,Basketball,18.00,16.34,+1.66
JuJu Watkins,Sports,Basketball,18.00,13.98,+4.02
Paolo Banchero,Sports,Basketball,18.00,19.11,-1.11
Austin Reaves,Sports,Basketball,16.00,17.21,-1.21
Bam Adebayo,Sports,Basketball,16.00,17.83,-1.83
Dylan Harper,Sports,Basketball,16.00,2.82,+13.18
Jalen Williams,Sports,Basketball,16.00,16.21,-0.21
Jamal Murray,Sports,Basketball,16.00,15.87,+0.13
Reggie Miller,Sports,Basketball,16.00,23.62,-7.62
Sabrina Ionescu,Sports,Basketball,16.00,27.67,-11.67
Stephon Castle,Sports,Basketball,16.00,3.56,+12.44
Tyler Herro,Sports,Basketball,16.00,15.23,+0.77
AJ Dybantsa,Sports,Basketball,14.00,6.50,+7.50
Alperen Şengün,Sports,Basketball,14.00,16.28,-2.28
Amen Thompson,Sports,Basketball,14.00,15.10,-1.10
Breanna Stewart,Sports,Basketball,14.00,18.92,-4.92
De'Aaron Fox,Sports,Basketball,14.00,13.76,+0.24
Evan Mobley,Sports,Basketball,14.00,15.65,-1.65
Jalen Green,Sports,Basketball,14.00,14.12,-0.12
Jaren Jackson Jr.,Sports,Basketball,14.00,14.46,-0.46
Julius Randle,Sports,Basketball,14.00,12.98,+1.02
Scottie Barnes,Sports,Basketball,14.00,15.31,-1.31
Zach LaVine,Sports,Basketball,14.00,14.87,-0.87
Ace Bailey,Sports,Basketball,12.00,6.98,+5.02
Brandon Miller,Sports,Basketball,12.00,13.12,-1.12
Cameron Boozer,Sports,Basketball,12.00,5.57,+6.43
Darius Garland,Sports,Basketball,12.00,13.27,-1.27
Darryn Peterson,Sports,Basketball,12.00,5.29,+6.71
Domantas Sabonis,Sports,Basketball,12.00,13.93,-1.93
Franz Wagner,Sports,Basketball,12.00,14.21,-2.21
Josh Hart,Sports,Basketball,12.00,6.91,+5.09
Kelsey Plum,Sports,Basketball,12.00,14.97,-2.97
Kon Knueppel,Sports,Basketball,12.00,8.13,+3.87
Mikal Bridges,Sports,Basketball,12.00,8.81,+3.19
Napheesa Collier,Sports,Basketball,12.00,16.12,-4.12
OG Anunoby,Sports,Basketball,12.00,7.91,+4.09
VJ Edgecombe,Sports,Basketball,12.00,8.37,+3.63
Azzi Fudd,Sports,Basketball,10.00,9.38,+0.62
CJ McCollum,Sports,Basketball,10.00,12.76,-2.76
Cameron Brink,Sports,Basketball,10.00,12.72,-2.72
Lauri Markkanen,Sports,Basketball,10.00,13.63,-3.63
Marcus Smart,Sports,Basketball,10.00,10.63,-0.63
Aliyah Boston,Sports,Basketball,8.00,12.45,-4.45
Bobby Portis,Sports,Basketball,8.00,9.32,-1.32
Derik Queen,Sports,Basketball,8.00,5.63,+2.37
Hailey Van Lith,Sports,Basketball,8.00,9.53,-1.53
Harrison Barnes,Sports,Basketball,8.00,8.60,-0.60
Ivica Zubac,Sports,Basketball,8.00,8.72,-0.72
Jaime Jaquez Jr.,Sports,Basketball,8.00,8.95,-0.95
Jeremiah Fears,Sports,Basketball,8.00,5.12,+2.88
Jon Scheyer,Sports,Basketball,8.00,8.78,-0.78
Koa Peat,Sports,Basketball,8.00,4.82,+3.18
Lu Dort,Sports,Basketball,8.00,9.34,-1.34
Mitchell Robinson,Sports,Basketball,8.00,6.05,+1.95
Norman Powell,Sports,Basketball,8.00,8.45,-0.45
Reed Sheppard,Sports,Basketball,8.00,1.69,+6.31
Sarah Strong,Sports,Basketball,8.00,10.78,-2.78
Tobias Harris,Sports,Basketball,8.00,8.12,-0.12
Tre Johnson,Sports,Basketball,8.00,6.78,+1.22
Tyran Stokes,Sports,Basketball,8.00,0.46,+7.54
Alijah Arenas,Sports,Basketball,6.00,0.07,+5.93
Caleb Wilson,Sports,Basketball,6.00,7.03,-1.03
Cam Whitmore,Sports,Basketball,6.00,6.19,-0.19
Collin Murray-Boyles,Sports,Basketball,6.00,3.78,+2.22
Devin Vassell,Sports,Basketball,6.00,6.21,-0.21
Egor Demin,Sports,Basketball,6.00,4.46,+1.54
Guerschon Yabusele,Sports,Basketball,6.00,1.67,+4.33
Kasparas Jakučionis,Sports,Basketball,6.00,7.25,-1.25
Keldon Johnson,Sports,Basketball,6.00,5.82,+0.18
Miles McBride,Sports,Basketball,6.00,2.72,+3.28
Nate Ament,Sports,Basketball,6.00,0.28,+5.72
Nic Claxton,Sports,Basketball,6.00,8.32,-2.32
Walker Kessler,Sports,Basketball,6.00,8.79,-2.79
Aaron Wiggins,Sports,Basketball,5.00,5.72,-0.72
Boogie Fland,Sports,Basketball,5.00,0.06,+4.94
Chris Cenac Jr.,Sports,Basketball,5.00,4.12,+0.88
Darius Acuff Jr.,Sports,Basketball,5.00,5.89,-0.89
Devin Carter,Sports,Basketball,5.00,4.87,+0.13
Kelly Olynyk,Sports,Basketball,5.00,6.08,-1.08
Mikel Brown Jr.,Sports,Basketball,5.00,6.16,-1.16
Peyton Watson,Sports,Basketball,5.00,6.12,-1.12
Kingston Flemings,Sports,Basketball,4.00,5.37,-1.37
Morez Johnson,Sports,Basketball,4.00,3.58,+0.42
Ryan Nembhard,Sports,Basketball,4.00,5.98,-1.98
Arnold Schwarzenegger,Sports,Bodybuilding,44.00,35.48,+8.52
Cbum,Sports,Bodybuilding,18.00,3.22,+14.78
Sam Sulek,Sports,Bodybuilding,12.00,3.53,+8.47
Mike O'Hearn,Sports,Bodybuilding,8.00,1.04,+6.96
Noel Deyzel,Sports,Bodybuilding,6.00,1.22,+4.78
Mike Tyson,Sports,Boxer,42.00,33.97,+8.03
Canelo Álvarez,Sports,Boxer,34.00,33.97,+0.03
Tyson Fury,Sports,Boxer,32.00,32.87,-0.87
Anthony Joshua,Sports,Boxer,26.00,27.67,-1.67
Oleksandr Usyk,Sports,Boxer,26.00,33.47,-7.47
Anna Cramling,Sports,Chess,6.00,2.80,+3.20
Bill Belichick,Sports,Coaches,32.00,35.98,-3.98
Deion Sanders,Sports,Coaches,32.00,17.13,+14.87
Nick Saban,Sports,Coaches,30.00,33.43,-3.43
Andy Reid,Sports,Coaches,24.00,26.89,-2.89
Sean McVay,Sports,Coaches,20.00,23.98,-3.98
Steve Kerr,Sports,Coaches,20.00,18.24,+1.76
Dan Campbell,Sports,Coaches,18.00,16.92,+1.08
Christian Horner,Sports,Coaches,16.00,14.61,+1.39
JJ Redick,Sports,Coaches,16.00,13.78,+2.22
John Calipari,Sports,Coaches,16.00,14.98,+1.02
Lane Kiffin,Sports,Coaches,16.00,13.15,+2.85
Toto Wolff,Sports,Coaches,16.00,13.49,+2.51
Doc Rivers,Sports,Coaches,14.00,11.79,+2.21
Erik Spoelstra,Sports,Coaches,14.00,14.76,-0.76
Kirby Smart,Sports,Coaches,14.00,12.36,+1.64
Curt Cignetti,Sports,Coaches,12.00,18.83,-6.83
Dan Hurley,Sports,Coaches,12.00,12.14,-0.14
Dave Roberts,Sports,Coaches,12.00,12.19,-0.19
Guenther Steiner,Sports,Coaches,12.00,10.21,+1.79
Marcus Freeman,Sports,Coaches,12.00,9.89,+2.11
Ryan Day,Sports,Coaches,12.00,13.42,-1.42
Steve Sarkisian,Sports,Coaches,12.00,12.87,-0.87
Aaron Boone,Sports,Coaches,10.00,11.87,-1.87
Adrian Newey,Sports,Coaches,10.00,11.43,-1.43
Ben Johnson,Sports,Coaches,10.00,14.42,-4.42
Dan Lanning,Sports,Coaches,10.00,9.92,+0.08
Joe Mazzulla,Sports,Coaches,10.00,10.17,-0.17
Ty Lue,Sports,Coaches,10.00,9.79,+0.21
Bruce Bochy,Sports,Coaches,8.00,9.17,-1.17
Craig Counsell,Sports,Coaches,8.00,9.76,-1.76
Mike Brown,Sports,Coaches,8.00,12.98,-4.98
Rick Carlisle,Sports,Coaches,8.00,6.98,+1.02
Zak Brown,Sports,Coaches,8.00,8.73,-0.73
Fred Vasseur,Sports,Coaches,6.00,7.29,-1.29
Helmut Marko,Sports,Coaches,6.00,6.54,-0.54
Rob Thomson,Sports,Coaches,6.00,7.13,-1.13
Cristiano Ronaldo,Sports,Football (Soccer),62.00,47.63,+14.37
Lionel Messi,Sports,Football (Soccer),60.00,33.72,+26.28
Kylian Mbappé,Sports,Football (Soccer),42.00,29.12,+12.88
Neymar,Sports,Football (Soccer),40.00,32.59,+7.41
Lamine Yamal,Sports,Football (Soccer),34.00,26.92,+7.08
Erling Haaland,Sports,Football (Soccer),32.00,20.91,+11.09
Jude Bellingham,Sports,Football (Soccer),30.00,20.82,+9.18
Mohamed Salah,Sports,Football (Soccer),30.00,16.53,+13.47
Harry Kane,Sports,Football (Soccer),28.00,20.08,+7.92
Vinícius Júnior,Sports,Football (Soccer),28.00,23.77,+4.23
Kevin De Bruyne,Sports,Football (Soccer),26.00,14.03,+11.97
Luka Modrić,Sports,Football (Soccer),26.00,10.43,+15.57
Son Heung-min,Sports,Football (Soccer),24.00,13.52,+10.48
Christian Pulisic,Sports,Football (Soccer),22.00,13.69,+8.31
Bruno Fernandes,Sports,Football (Soccer),20.00,15.54,+4.46
Bukayo Saka,Sports,Football (Soccer),20.00,11.46,+8.54
Cole Palmer,Sports,Football (Soccer),20.00,11.37,+8.63
Ousmane Dembélé,Sports,Football (Soccer),20.00,11.37,+8.63
Virgil van Dijk,Sports,Football (Soccer),20.00,11.03,+8.97
Florian Wirtz,Sports,Football (Soccer),18.00,10.78,+7.22
Jamal Musiala,Sports,Football (Soccer),18.00,8.80,+9.20
Pedri,Sports,Football (Soccer),18.00,19.87,-1.87
Phil Foden,Sports,Football (Soccer),18.00,10.90,+7.10
Rodri,Sports,Football (Soccer),18.00,18.72,-0.72
Achraf Hakimi,Sports,Football (Soccer),16.00,8.72,+7.28
Alexander Isak,Sports,Football (Soccer),16.00,10.93,+5.07
James Rodríguez,Sports,Football (Soccer),16.00,11.91,+4.09
Julián Álvarez,Sports,Football (Soccer),16.00,11.15,+4.85
Lautaro Martínez,Sports,Football (Soccer),16.00,11.54,+4.46
Martin Ødegaard,Sports,Football (Soccer),16.00,8.37,+7.63
Raphinha,Sports,Football (Soccer),16.00,10.93,+5.07
Sadio Mané,Sports,Football (Soccer),16.00,8.45,+7.55
Alejandro Garnacho,Sports,Football (Soccer),14.00,9.60,+4.40
Bernardo Silva,Sports,Football (Soccer),14.00,11.85,+2.15
Emiliano Martínez,Sports,Football (Soccer),14.00,11.13,+2.87
Enzo Fernández,Sports,Football (Soccer),14.00,11.40,+2.60
Federico Valverde,Sports,Football (Soccer),14.00,11.43,+2.57
Joshua Kimmich,Sports,Football (Soccer),14.00,11.68,+2.32
Thibaut Courtois,Sports,Football (Soccer),14.00,11.50,+2.50
Viktor Gyökeres,Sports,Football (Soccer),14.00,9.02,+4.98
Alexis Mac Allister,Sports,Football (Soccer),12.00,11.15,+0.85
Alphonso Davies,Sports,Football (Soccer),12.00,8.02,+3.98
Arda Güler,Sports,Football (Soccer),12.00,9.87,+2.13
Darwin Núñez,Sports,Football (Soccer),12.00,11.25,+0.75
David Alaba,Sports,Football (Soccer),12.00,11.69,+0.31
Désiré Doué,Sports,Football (Soccer),12.00,7.85,+4.15
Endrick,Sports,Football (Soccer),12.00,5.16,+6.84
Frenkie de Jong,Sports,Football (Soccer),12.00,8.31,+3.69
João Félix,Sports,Football (Soccer),12.00,8.03,+3.97
Kai Havertz,Sports,Football (Soccer),12.00,11.28,+0.72
Kenan Yıldız,Sports,Football (Soccer),12.00,6.02,+5.98
Lee Kang-in,Sports,Football (Soccer),12.00,10.63,+1.37
Memphis Depay,Sports,Football (Soccer),12.00,11.00,+1.00
Nico Williams,Sports,Football (Soccer),12.00,11.06,+0.94
Rafael Leão,Sports,Football (Soccer),12.00,11.35,+0.65
Riyad Mahrez,Sports,Football (Soccer),12.00,11.69,+0.31
Scott McTominay,Sports,Football (Soccer),12.00,10.52,+1.48
Cody Gakpo,Sports,Football (Soccer),10.00,10.84,-0.84
Dani Olmo,Sports,Football (Soccer),10.00,11.02,-1.02
Joško Gvardiol,Sports,Football (Soccer),10.00,11.29,-1.29
Kim Min-jae,Sports,Football (Soccer),10.00,10.59,-0.59
Leroy Sané,Sports,Football (Soccer),10.00,9.57,+0.43
Michael Olise,Sports,Football (Soccer),10.00,8.15,+1.85
Moisés Caicedo,Sports,Football (Soccer),10.00,10.68,-0.68
Raúl Jiménez,Sports,Football (Soccer),10.00,10.18,-0.18
Rodrigo De Paul,Sports,Football (Soccer),10.00,10.75,-0.75
Rúben Dias,Sports,Football (Soccer),10.00,9.80,+0.20
Santiago Giménez,Sports,Football (Soccer),10.00,8.13,+1.87
Takefusa Kubo,Sports,Football (Soccer),10.00,9.87,+0.13
Vitinha,Sports,Football (Soccer),10.00,8.12,+1.88
Weston McKennie,Sports,Football (Soccer),10.00,10.36,-0.36
William Saliba,Sports,Football (Soccer),10.00,10.14,-0.14
Xavi Simons,Sports,Football (Soccer),10.00,10.47,-0.47
Amad Diallo,Sports,Football (Soccer),8.00,7.32,+0.68
Andy Robertson,Sports,Football (Soccer),8.00,7.51,+0.49
Brahim Díaz,Sports,Football (Soccer),8.00,8.97,-0.97
Bruno Guimarães,Sports,Football (Soccer),8.00,10.44,-2.44
Cristian Romero,Sports,Football (Soccer),8.00,9.01,-1.01
Edin Džeko,Sports,Football (Soccer),8.00,10.14,-2.14
Edson Álvarez,Sports,Football (Soccer),8.00,8.82,-0.82
Folarin Balogun,Sports,Football (Soccer),8.00,7.33,+0.67
Gilberto Mora,Sports,Football (Soccer),8.00,11.20,-3.20
Granit Xhaka,Sports,Football (Soccer),8.00,10.54,-2.54
Hakan Çalhanoğlu,Sports,Football (Soccer),8.00,10.67,-2.67
Jonathan David,Sports,Football (Soccer),8.00,9.56,-1.56
Jérémy Doku,Sports,Football (Soccer),8.00,10.75,-2.75
Kaoru Mitoma,Sports,Football (Soccer),8.00,10.96,-2.96
Matheus Cunha,Sports,Football (Soccer),8.00,7.24,+0.76
Mike Maignan,Sports,Football (Soccer),8.00,7.18,+0.82
Mohammed Kudus,Sports,Football (Soccer),8.00,10.86,-2.86
Nicolas Jackson,Sports,Football (Soccer),8.00,9.14,-1.14
Omar Marmoush,Sports,Football (Soccer),8.00,6.37,+1.63
Rayan Cherki,Sports,Football (Soccer),8.00,6.18,+1.82
Aaron Wan-Bissaka,Sports,Football (Soccer),6.00,9.31,-3.31
Iñaki Williams,Sports,Football (Soccer),6.00,9.77,-3.77
Jhon Durán,Sports,Football (Soccer),6.00,4.94,+1.06
Manuel Akanji,Sports,Football (Soccer),6.00,9.59,-3.59
Mikel Merino,Sports,Football (Soccer),6.00,10.00,-4.00
Thomas Partey,Sports,Football (Soccer),6.00,10.17,-4.17
Shea Lacey,Sports,Football (Soccer),5.21,5.21,+0.00
Abdukodir Khusanov,Sports,Football (Soccer),5.00,1.79,+3.21
Chris Wood,Sports,Football (Soccer),5.00,8.15,-3.15
Kendry Páez,Sports,Football (Soccer),5.00,3.58,+1.42
Akram Afif,Sports,Football (Soccer),4.00,7.01,-3.01
Antonio Nusa,Sports,Football (Soccer),4.00,4.02,-0.02
Ayase Ueda,Sports,Football (Soccer),4.00,6.17,-2.17
Julio Enciso,Sports,Football (Soccer),4.00,4.81,-0.81
Marcel Sabitzer,Sports,Football (Soccer),4.00,9.85,-5.85
Mehdi Taremi,Sports,Football (Soccer),4.00,9.06,-5.06
Miguel Almirón,Sports,Football (Soccer),4.00,8.23,-4.23
Patrik Schick,Sports,Football (Soccer),4.00,9.71,-5.71
